number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
25,0.00020416085317265242,2026-03-12 16:38:58.633369,2026-03-12 16:39:02.796771,0 days 00:00:04.163402,128,0.5055276870924023,4,64,0.0049790780299046695,2,1,1,0.000219123988616226,COMPLETE
26,0.0001867351238615811,2026-03-12 16:39:02.868772,2026-03-12 16:39:09.641977,0 days 00:00:06.773205,128,0.32468649367207975,3,128,0.0024053004708273346,2,1,1,3.4485365415331063e-05,COMPLETE
27,0.0004893499426543713,2026-03-12 16:39:09.709678,2026-03-12 16:39:11.260749,0 days 00:00:01.551071,256,0.42964861132847604,4,128,0.0002890658187934423,2,1,1,9.412775043915449e-05,PRUNED
28,0.00033492377718045773,2026-03-12 16:39:11.336745,2026-03-12 16:39:22.658022,0 days 00:00:11.321277,32,0.5669769233902935,3,128,0.0004401883428474659,4,1,1,0.00023082617115011543,PRUNED
29,0.000707705326411607,2026-03-12 16:39:22.727459,2026-03-12 16:39:28.555896,0 days 00:00:05.828437,32,0.4700561045712151,2,64,0.00018935534205745484,2,1,1,0.0008178488228368201,PRUNED
30,0.015858823200687766,2026-03-12 16:39:28.628896,2026-03-12 16:39:30.334484,0 days 00:00:01.705588,128,0.5546804115077427,2,128,6.597236409030586e-05,8,1,1,0.001338789782628433,PRUNED
31,0.0001857274182839319,2026-03-12 16:39:30.400483,2026-03-12 16:39:37.001845,0 days 00:00:06.601362,128,0.4920689819257178,3,128,0.001170709380753885,2,1,1,0.0001276003538484086,COMPLETE
32,0.00018607682432048023,2026-03-12 16:39:37.072839,2026-03-12 16:39:43.403581,0 days 00:00:06.330742,128,0.5085167613117719,3,128,0.001795018766593063,2,1,1,0.0003831485286348119,COMPLETE
33,0.00017645524712861516,2026-03-12 16:39:43.472381,2026-03-12 16:39:50.765508,0 days 00:00:07.293127,128,0.4799937040147184,3,128,0.002840368719419334,2,1,1,2.607628281043697e-05,COMPLETE
34,0.0015664858219679445,2026-03-12 16:39:50.832508,2026-03-12 16:39:52.279448,0 days 00:00:01.446940,256,0.4367834269274169,3,128,0.002927850774252887,2,1,1,2.9498601573776773e-05,PRUNED
35,0.00017530813056509942,2026-03-12 16:39:52.349523,2026-03-12 16:39:57.826534,0 days 00:00:05.477011,128,0.46436579893334196,3,128,0.0034265084976113306,8,1,1,2.1042893691172023e-05,COMPLETE
36,0.0019759849237743765,2026-03-12 16:39:57.892639,2026-03-12 16:39:59.588514,0 days 00:00:01.695875,128,0.454555435080704,4,64,0.0033961188754279286,8,2,1,1.979986959801572e-05,PRUNED
