date,open,high,low,close,volume,amount,sma_5,sma_20,rsi_14,macd_12_26_9,macdh_12_26_9,macds_12_26_9,bbl_5_2.0_2.0,bbm_5_2.0_2.0,bbu_5_2.0_2.0,bbb_5_2.0_2.0,bbp_5_2.0_2.0,north_flow,cn_10y_diff,usdcnh_ret,sin_dow,cos_dow,sin_month,cos_month
2006-03-01,1051.759,1057.693,1049.642,1056.619,1942573000,2052559540687.0,1049.6582,1032.7896999999998,78.18826672781654,20.17311388255507,-0.4102745629459896,20.58338844550106,1038.183644897523,1049.6582,1061.1327551024772,2.1863412494614147,0.8033145920619247,0.0,0.0041000000000002,0.0,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2006-03-02,1055.858,1056.053,1034.68,1038.666,2487786100,2583978837342.6,1049.1168,1034.76835,66.15341808544815,18.57147021351329,-1.6095345855902146,20.18100479910351,1035.6118465828354,1049.1168,1062.6217534171649,2.5745376334007126,0.1130753036616467,0.0,-0.0266000000000001,0.0,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
2006-03-03,1037.988,1043.422,1029.561,1041.677,2120053900,2208411386390.3,1047.5634,1036.37235,67.06892855675655,17.345174231061605,-2.268664454433523,19.61383868549513,1032.5446759130546,1047.5634,1062.5821240869454,2.8673632711767976,0.3040312890122049,0.0,0.0,0.0,-0.9510565162951536,0.3090169943749472,1.0,6.123233995736766e-17
2006-03-06,1041.659,1044.417,1036.108,1038.873,1787096300,1856566094469.9,1045.769,1036.6543,65.29760583250258,15.96305431055316,-2.920627499953575,18.883681810506737,1028.889827330707,1045.769,1062.648172669293,3.228088166563168,0.2957245851111726,0.0,-0.0299999999999998,0.0,0.0,1.0,1.0,6.123233995736766e-17
2006-03-07,1037.928,1037.976,1013.142,1014.973,1933651600,1962604165406.8,1038.1616,1035.9061000000002,52.55649496225089,12.791728967584504,-4.873562274337786,17.66529124192229,1008.3035134705544,1038.1616,1068.0196865294454,5.75210767368884,0.1116864358147683,0.0,0.06,0.0,0.9510565162951536,0.3090169943749474,1.0,6.123233995736766e-17
2006-03-08,1012.578,1014.965,999.931,1009.271,1746305500,1762495498290.5,1028.692,1034.7160500000002,50.04746351881093,9.706437271895652,-6.367083176021311,16.073520447916962,998.0794231074888,1028.692,1059.3045768925112,5.951747829770474,0.1827937734841425,0.0,-0.0300000000000002,0.0,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17
2006-03-09,1006.965,1010.91,1002.196,1004.344,1273509900,1279042027005.6,1021.8276,1033.9533,47.91871243190706,6.785534236562398,-7.430388969083651,14.21592320564605,987.2606453293909,1021.8276,1056.3945546706095,6.7657116857304285,0.2471052893348232,0.0,-0.02,0.0,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17
2006-03-10,1004.747,1011.762,1004.688,1008.897,1188798300,1199375038475.1,1015.2716,1032.7813,50.033755855047566,4.782951696212194,-7.546377207547085,12.32932890375928,987.8276496429536,1015.2716,1042.715550357046,5.406228315072779,0.3838614718896837,0.0,0.0,0.0,-0.9510565162951536,0.3090169943749472,1.0,6.123233995736766e-17
2006-03-13,1008.803,1020.876,1008.513,1019.864,1176591100,1199962905610.4,1011.4698,1032.1938,54.79577840312825,4.034330598260226,-6.635998644399244,10.67032924265947,999.4296151675296,1011.4698,1023.5099848324702,2.3807304642155867,0.8485909941084296,0.0,0.0100000000000002,0.0,0.0,1.0,1.0,6.123233995736766e-17
2006-03-14,1020.468,1021.651,1012.112,1018.272,1134803000,1155538120416.0,1012.1296,1031.1808500000002,53.9913656310354,3.2748316685456302,-5.9163980592910725,9.191229727836705,998.8334770613372,1012.1296,1025.425722938663,2.627355812667263,0.7309846271855254,0.0,0.0099999999999997,0.0,0.9510565162951536,0.3090169943749474,1.0,6.123233995736766e-17
