date,open,high,low,close,volume,amount,sma_5,sma_20,rsi_14,macd_12_26_9,macdh_12_26_9,macds_12_26_9,bbl_5_2.0_2.0,bbm_5_2.0_2.0,bbu_5_2.0_2.0,bbb_5_2.0_2.0,bbp_5_2.0_2.0,imf_1,imf_2,imf_3,imf_4,imf_5,imf_6,imf_7,imf_8,imf_residue
2006-03-01,1051.759,1057.693,1049.642,1056.619,1942573000,2052559540687.0,1049.6582,1032.7896999999998,78.18826672781654,20.17311388255507,-0.41027456294598963,20.58338844550106,1038.183644897523,1049.6582,1061.1327551024772,2.1863412494614147,0.8033145920619247,5.677695790464589,5.3265122655088275,9.649463477804343,-3.107248195560825,-177.13807147781682,-2444.5025123527007,366.5610715301392,636.5515151931926,2657.600573768969
2006-03-02,1055.858,1056.053,1034.68,1038.666,2487786100,2583978837342.6,1049.1168,1034.76835,66.15341808544815,18.571470213513294,-1.6095345855902146,20.18100479910351,1035.6118465828354,1049.1168,1062.6217534171647,2.5745376334007126,0.11307530366164671,-8.286989446092104,4.552209078816364,9.625707748515254,-4.320215536490226,-178.85195022837448,-2444.8086127893066,366.3866052309432,636.7911412041974,2657.578104737791
2006-03-03,1037.988,1043.422,1029.561,1041.677,2120053900,2208411386390.3,1047.5634,1036.37235,67.06892855675655,17.345174231061605,-2.268664454433523,19.61383868549513,1032.5446759130546,1047.5634,1062.5821240869454,2.8673632711767976,0.30403128901220494,0.5106026797159865,4.769189666104649,6.618619542492498,-5.599844423835307,-180.34667263202408,-2445.0717130619837,366.2107014192539,637.0301942588382,2657.5559225514376
2006-03-06,1041.659,1044.417,1036.108,1038.873,1787096300,1856566094469.9,1045.769,1036.6543,65.29760583250258,15.963054310553161,-2.920627499953575,18.883681810506737,1028.889827330707,1045.769,1062.648172669293,3.2280881665631673,0.29572458511117267,6.30638407294977,3.8087298935881284,1.7076581530429038,-6.876500941087256,-181.61777897463355,-2445.2915542349856,366.0333606583405,637.2686741935878,2657.5340271791974
2006-03-07,1037.928,1037.976,1013.142,1014.973,1933651600,1962604165406.8,1038.1616,1035.9061000000002,52.55649496225089,12.791728967584504,-4.873562274337786,17.66529124192229,1008.3035134705545,1038.1616,1068.0196865294454,5.75210767368884,0.11168643581476831,-4.261487657689941,-1.876290313662662,-3.564099477827329,-8.070387568592515,-182.66044055641314,-2445.4678773725714,365.85458351147963,637.5065808449126,2657.512418590364
2006-03-08,1012.578,1014.965,999.931,1009.271,1746305500,1762495498290.5,1028.692,1034.7160500000002,50.04746351881093,9.706437271895652,-6.3670831760213105,16.073520447916962,998.0794231074888,1028.692,1059.3045768925112,5.951747829770474,0.18279377348414255,0.14791313890937013,-5.91311138850631,-7.7001025261008165,-9.10282835319307,-183.46982867756935,-2445.6004235389996,365.6743705419507,637.7439140492787,2657.4910967542305
2006-03-09,1006.965,1010.91,1002.196,1004.344,1273509900,1279042027005.6,1021.8276000000001,1033.9533000000001,47.91871243190706,6.785534236562398,-7.430388969083651,14.21592320564605,987.2606453293907,1021.8276000000001,1056.3945546706095,6.7657116857304285,0.24710528933482329,-1.2109054970236932,-6.195101190901757,-9.56578497127441,-9.897542520683901,-184.04118961785807,-2445.6889334237662,365.49272193826954,637.9806736431503,2657.4700616400883
2006-03-10,1004.747,1011.762,1004.688,1008.897,1188798300,1199375038475.1,1015.2715999999999,1032.7813,50.033755855047566,4.782951696212194,-7.546377207547085,12.32932890375928,987.8276496429537,1015.2715999999999,1042.7155503570461,5.406228315072779,0.3838614718896837,-0.09233329622574306,-2.577125225672085,-8.918895980407797,-10.387257323433472,-184.3700333475545,-2445.7331621749026,365.3096346679709,638.2168594629954,2657.4493132172306
2006-03-13,1008.803,1020.876,1008.513,1019.864,1176591100,1199962905610.4,1011.4698,1032.1938,54.79577840312825,4.034330598260226,-6.635998644399244,10.67032924265947,999.4296151675297,1011.4698,1023.5099848324702,2.3807304642155867,0.8485909941084296,3.194228593312149,2.843767124772564,-6.457754131679603,-10.537422463202546,-184.45214891336846,-2445.7330916604933,365.1250986504309,638.4524713452821,2657.4288514549467
2006-03-14,1020.468,1021.651,1012.112,1018.272,1134803000,1155538120416.0,1012.1296000000001,1031.1808500000002,53.9913656310354,3.2748316685456302,-5.9163980592910725,9.191229727836703,998.8334770613371,1012.1296000000001,1025.425722938663,2.627355812667263,0.7309846271855254,-4.097691355341281,4.684036547221777,-3.035912097800824,-10.339525902909621,-184.28480272636384,-2445.6893929574117,364.939103043596,638.6875091264789,2657.408676322531
